instruction,intent
"change my seat on flight MN321 and what are the baggage fees?",change_seat,ask_policy
"hi, what is the baggage allowance and is my flight on time?",greeting,ask_policy,check_flight_status
"my pnr is CV432B, what is the cancellation policy?",inform,ask_policy
"for my trip DL432, i need to know the baggage rules and the flight status",inform,ask_policy,check_flight_status
"is my flight on time and can i check in online?",check_flight_status,check_in
"i want to know the fee to change my flight and also the status of UA123",ask_policy,check_flight_status
"hello, for booking LH543G, please cancel it and tell me the refund policy",greeting,inform,cancel_flight,ask_policy
"hey, what's the status of my flight and can i get my boarding pass?",greeting,check_flight_status,get_boarding_pass
"i need to check in and also ask about pet travel rules for my flight EK203",check_in,ask_policy,inform
"my confirmation is BN789P, is the flight late and what are the carry-on rules?",inform,check_flight_status,ask_policy
"get me a refund for ticket YU123D and explain the process",get_refund,ask_policy,inform
"hi, my pnr is ZD543F and I need my boarding pass",greeting,inform,get_boarding_pass
"hello there, for flight UA987, can you check me in?",greeting,inform,check_in
"good morning, I have booking ref KL321F, I need to cancel it.",greeting,inform,cancel_flight
"hey, my flight is UA456, what is the carry-on baggage allowance for this trip?",greeting,inform,ask_policy
"hi, for PNR GH654J, can you tell me the cancellation fee policy?",greeting,inform,ask_policy
"i need to cancel flight CD321 for PNR KL321F, what's the fee for that?",cancel_flight,inform,ask_policy
"hi, for booking XY123Z, can you check me in and also tell me the pet policy?",greeting,inform,check_in,ask_policy
"hello, i'm on flight BA283, can you tell me its status and what the baggage fee is?",greeting,inform,check_flight_status,ask_policy
"good afternoon, please change my seat for booking MN321 and let me know about carry-on rules.",greeting,inform,change_seat,ask_policy
"hey, for flight EK203, can you get my boarding pass and also tell me if the flight is delayed?",greeting,inform,get_boarding_pass,check_flight_status
"hi, please cancel my trip PNR YU123D and process the refund.",greeting,inform,cancel_flight,get_refund
"hello, for flight SQ321, what is the baggage policy and can you check its arrival time?",greeting,inform,ask_policy,check_arrival_time
"hey, I need to check in for flight IB688 and also want to know the rules for bringing a guitar.",greeting,inform,check_in,ask_policy
"good morning, my pnr is QW543A, what time does it land and what is the carry on policy?",greeting,inform,check_arrival_time,ask_policy
"hi, for my booking reference WE234R, i want to add insurance and check the flight status.",greeting,inform,purchase_flight_insurance,check_flight_status
"hello, can you tell me the status of flight UA123?",greeting,check_flight_status
"hi, i'd like to know your baggage allowance",greeting,ask_policy
"good morning, i need to cancel my booking",greeting,cancel_flight
"hey there, please check me in",greeting,check_in
"hi, my pnr is ZD543F and I need my boarding pass",greeting,inform,get_boarding_pass    
"good evening, can you find me a flight to Boston?",greeting,search_flight
"hi, what is the fee to change my ticket?",greeting,ask_policy
"hello, is my flight on time?",greeting,check_flight_status
"hey, I need to change my seat for an upcoming trip",greeting,change_seat
"good afternoon, what's the policy on traveling with a pet?",greeting,ask_policy
"hi there, can you tell me the price of a flight to London?",greeting,check_flight_prices
"hello, I want to get a refund",greeting,get_refund
"hey, can you find me a flight for tomorrow?",greeting,search_flight
"good morning, I need to purchase insurance for my trip",greeting,purchase_flight_insurance
"hi, tell me about your cancellation policy",greeting,ask_policy
"hello, can you get me the boarding pass for flight BA283?",greeting,get_boarding_pass
"hey, what are the baggage fees?",greeting,ask_policy
"hi there, i need to change my flight date",greeting,change_flight
"my pnr is XA123B, can you tell me if it's on time?",inform,check_flight_status
"what's the status of flight UA456 with booking reference ZD543F?",inform,check_flight_status
"i have my booking number, it is GH654J, what is the arrival time?",inform,check_arrival_time
"i'm flying on flight KL654, please get my boarding pass",inform,get_boarding_pass
"here is my confirmation code FR654C, i need to check in",inform,check_in
"i want to change my seat for booking LH543G",inform,change_seat
"can you cancel flight AA101 for me? the pnr is CV432B",cancel_flight,inform
"for flight DL432, can you tell me the departure gate?",inform,check_flight_status
"i'm on flight EK203, please tell me the baggage allowance for this ticket",inform,ask_policy
"my booking id is BN789P, i need to change the date",inform,change_flight
"please get me a refund for PNR YU123D",inform,get_refund
"can you tell me the seat options for flight SQ321?",inform,change_seat
"i'm on flight TG910, what's the policy on carry-on bags?",inform,ask_policy
"my confirmation number is AS789V, is the flight delayed?",inform,check_flight_status
"for booking reference WE234R, i want to add insurance",inform,purchase_flight_insurance
"i need to check in for flight IB688",inform,check_in
"my ticket is under PNR QW543A, what time does it land?",inform,check_arrival_time
"can you check the status for my flight, JL407?",inform,check_flight_status
"i need to cancel flight CD321 and i also want to know the fee",cancel_flight,ask_policy
"i want to change my flight, what's the policy on that?",change_flight,ask_policy
"how much is it to check a bag and can you add one to my booking?",ask_policy,inform
"i'd like to check in, and also what is the carry-on size limit?",check_in,ask_policy
"can i get a refund for my ticket, and what is your refund policy?",get_refund,ask_policy
"i need to book a flight for me and my cat, what are the rules for pet travel?",book_flight,ask_policy
"i want to change my seat, is there a fee for that?",change_seat,ask_policy
"can you check me in for flight UA987 and also print the boarding pass?",check_in,get_boarding_pass
"what's the status of flight DL432 and what gate is it at?",check_flight_status,check_flight_status
"find me a flight to JFK and tell me the price",search_flight,check_flight_prices
"is my flight on time?",check_flight_status
"tell me if my flight is on time",check_flight_status
"what's the status for flight UA123, is it on time?",inform,check_flight_status
"hi, my pnr is XA123B, can you tell me if it's on time?",greeting,inform,check_flight_status
"for my booking GH654J, is the flight on schedule?",inform,check_flight_status
"i want to know if my flight is delayed",check_flight_status
"is flight UA456 running on time?",inform,check_flight_status
"my pnr is ZD543F, tell me the flight status",inform,check_flight_status
"is my flight going to be late?",check_flight_status
"hi, is my flight on time and what's the baggage policy?",greeting,check_flight_status,ask_policy
"for PNR CV432B, check the flight status and also tell me the cancellation rules",inform,check_flight_status,ask_policy
"tell me the status and baggage rules for flight DL432",inform,check_flight_status,ask_policy
"is my flight on time and can you check me in?",check_flight_status,check_in
"my booking is LH543G, is it on time?",inform,check_flight_status
"i need to know the status of my flight",check_flight_status
hello,greeting
hi,greeting
hey,greeting
hi there,greeting
hey there,greeting
good morning,greeting
good afternoon,greeting
good evening,greeting
greetings,greeting
howdy,greeting
yo,greeting
what's up,greeting
sup,greeting
how's it going,greeting
how are you,greeting
is anyone there?,greeting
can you help me?,greeting
hello bot,greeting
hi bot,greeting
start,greeting
begin,greeting
a little help please,greeting
i need some assistance,greeting
hello?,greeting
hi?,greeting
hey?,greeting
good day,greeting
hiya,greeting
what's good,greeting
how are you doing,greeting
are you there?,greeting
can you assist me,greeting
i have a question,greeting
need help,greeting
assistance please,greeting
hi assistant,greeting
hello there,greeting
"hey, how are you?",greeting
top of the morning to you,greeting
what's new?,greeting
how have you been?,greeting
are you available?,greeting
can we chat?,greeting
let's talk,greeting
i need to ask something,greeting
can i get some help,greeting
hello friend,greeting
hey buddy,greeting
good day sir,greeting
good day ma'am,greeting
i need some help here,greeting
are you a bot?,greeting
i want to talk to a bot,greeting
can i start?,greeting
is this the customer support chat?,greeting
i'm looking for help,greeting
"hi, can you help?",greeting
"hello, is somebody there?",greeting
"hey, i need assistance",greeting
g'day,greeting
morning,greeting
afternoon,greeting
evening,greeting
what's happening,greeting
howdy partner,greeting
is this thing on?,greeting
can you hear me?,greeting
i'm here to ask a question,greeting
start chat,greeting
new chat,greeting
"hi, i need help with a booking",greeting
"hello, i have a flight query",greeting
"hey, can we start?",greeting
aloha,greeting
hola,greeting
bonjour,greeting
ciao,greeting
namaste,greeting
salaam,greeting
are you online?,greeting
is the bot active?,greeting
i need to speak with someone,greeting
talk to me,greeting
i require assistance,greeting
could you help me out?,greeting
i'd like some help,greeting
need a hand with something,greeting
can you guide me?,greeting
"i'm lost, can you help?",greeting
"hello, i need information",greeting
"hi, i'm looking for information",greeting
"hey, get me some info",greeting
good to see you,greeting
nice to meet you,greeting
pleasure to meet you,greeting
let's begin,greeting
"what is the process for filing a complaint?",ask_policy
"how do i report a bad experience?",ask_policy
"where can I submit feedback about my trip?",ask_policy
"is there a form for customer complaints?",ask_policy
"how do I complain about a delayed flight?",ask_policy
"what's the procedure for making a formal complaint?",ask_policy
"i want to report an issue with the in-flight service.",ask_policy
"who do i talk to about a rude flight attendant?",ask_policy
"what is the official channel for complaints?",ask_policy
"how can I leave feedback on my travel experience?",ask_policy
"i need to make a complaint about my seat.",ask_policy
"is there an email address for customer relations?",ask_policy
"what's the process if my baggage was damaged?",ask_policy
"how do I report a problem with the website?",ask_policy
"i'm unhappy with how my cancellation was handled, where do I complain?",ask_policy
"do you offer discounts for seniors?",ask_policy
"are there any student fares available?",ask_policy
"is there a discount for military personnel?",ask_policy
"do you have special rates for children?",ask_policy
"are there any discounts for booking a round trip?",ask_policy
"do you offer any corporate travel discounts?",ask_policy
"is there a discount for AARP members?",ask_policy
"can I get a reduced fare for a companion ticket?",ask_policy
"are there bereavement fares?",ask_policy
"do you have discounts for veterans?",ask_policy
"is there a lower price for infants?",ask_policy
"can I get a discount if I'm a government employee?",ask_policy
"are there any group booking discounts?",ask_policy
"do you offer any family discounts?",ask_policy
"is there a special fare for frequent flyers?",ask_policy
"can my cat fly with me in the cabin?",ask_policy
"what is the baggage allowance for an international flight?",ask_policy
"how much do you charge for a second checked bag?",ask_policy
"what's the cancellation policy for a basic economy ticket?",ask_policy
"am i allowed to bring a guitar on board?",ask_policy
"do i get a refund if i cancel 24 hours before?",ask_policy
"what are the size limits for carry-on luggage?",ask_policy
"are there any fees for changing my flight?",ask_policy
"can i travel with my pet snake?",ask_policy
"what happens if my baggage is overweight?",ask_policy
"is there a policy for unaccompanied minors?",ask_policy
"what are the rules for flying with an infant?",ask_policy
"can i bring a car seat on the plane?",ask_policy
"what is the fee for an oversized bag?",ask_policy
"are there any restrictions on liquids in my carry-on?",ask_policy
"how do i request wheelchair assistance?",ask_policy
"is Wi-Fi available on my flight?",ask_policy
"what kind of meals are served on long-haul flights?",ask_policy
"can i change the name on my ticket?",ask_policy
"what's your policy on standby flights?",ask_policy
"are sports equipment like skis charged extra?",ask_policy
"do you have a different baggage allowance for loyalty members?",ask_policy
"what is the process if my flight is cancelled by the airline?",ask_policy
"can i bring my own food on board?",ask_policy
"what is the policy for traveling with medical equipment?",ask_policy
"are there extra charges for seat selection?",ask_policy
"how much does it cost to pick an exit row seat?",ask_policy
"what identification do I need to fly domestically?",ask_policy
"do i need a passport for a flight to Puerto Rico?",ask_policy
"what's your policy on flight vouchers?",ask_policy
"can i check in a box instead of a suitcase?",ask_policy
"are there any rules about flying when pregnant?",ask_policy
"how do i add my frequent flyer number to a booking?",ask_policy
"what is the fee to change a flight date?",ask_policy
"is there a charge for printing my boarding pass at the airport?",ask_policy
"what happens if i miss my connecting flight?",ask_policy
"are peanut allergies accommodated on your flights?",ask_policy
"can i bring my wedding dress as a carry-on?",ask_policy
"what is the liability for damaged baggage?",ask_policy
"do you offer bereavement fares?",ask_policy
"are lithium batteries allowed in checked luggage?",ask_policy
"how early must i check in for an international flight?",ask_policy
"what's the policy for traveling with a firearm?",ask_policy
"can children sit in exit rows?",ask_policy
"is there a fee for same-day flight changes?",ask_policy
"what are the fare rules for my ticket type?",ask_policy
"do you allow musical instruments in the cabin?",ask_policy
"what's the process for traveling with a service animal?",ask_policy
"can i combine points from different loyalty accounts?",ask_policy
"is outside alcohol permitted on board?",ask_policy
"I want to know about my checked carry-on baggage allowance, how can I get more information?",ask_policy 
I'm looking for information about my checked carry-on baggage allowance. Help me.,ask_policy 
"I'm looking for information about my fucking checked carry-on baggage allowance, where can I get it?",ask_policy 
"I have to see the fuking checked carry-on baggage allowance, could I get some help?",ask_policy 
need to see the fucking checkedcarry-on baggage allowance how to do it,ask_policy 
need to check the checked carry-on baggage allowance where can i do it,ask_policy 
I'd like to know about my fucking checked baggage allowance give me some information,ask_policy 
wanna see the fucking checked carry-on baggage allowance how to do it,ask_policy 
wanna know about my fucking checked carry-on baggage alowance can ya give me some information,ask_policy 
i have to check the checked baggage allowance how to do it,ask_policy 
i got to check the checked carry-on baggage allowance how can i do it,ask_policy 
"I got to see the fucking checked baggage allowance, will you help me?",ask_policy 
"I would like information about my fucking checked baggage allowance , how can I get it?",ask_policy 
id like to know more about my checked baggage allowance give me some information,ask_policy 
wanna know about my fuckig checked baggage allowance where do i get more information,ask_policy 
information about my fucking checked baggage allowance,ask_policy 
i have to check the checked baggage allowance how can i do it,ask_policy 
I'd like to check the fucking checked carry-on baggage allowance where can i do it,ask_policy 
I got to see the fucking checked carry-on baggage allowance can I get some help,ask_policy 
id like to know about my fucking checked carry-on baggage allowance where can i find more information,ask_policy 
id like information about my fucking checked carry-on baggage allowance how can i find it,ask_policy 
"I need to check the checked baggage allowance, can you help me?",ask_policy 
"I would like to see the checked carry-on baggage allowance , can I get some help?",ask_policy 
"I would like to know more about my checked carry-on baggage allowance, will you give me some information?",ask_policy 
wanna seethe checked carry-on baggage allowance can ya help me,ask_policy 
"I want to know about my checked baggage allowance, where can I find more information?",ask_policy 
im looking for information about my checked carry-on baggage allowaance could i get some help,ask_policy 
I got to ceck the checked carry-on baggage allowance,ask_policy 
I'm looking for information about my checked baggage allowance where can i get it,ask_policy 
id like to know about my checked carry-on baggage allowance could ufind some information,ask_policy 
I'd like to know about my fucking checked baggage allowance could u give me some information,ask_policy 
i need information about my fucking checked baggage allowance how can i find it,ask_policy 
mi looking for information about my checked carry-on baggage allowance could ya help me,ask_policy 
what is my checked baggage allowance?,ask_policy 
id like to know more about my checked carry-on baggage allowance can ya find some information,ask_policy 
would it be possible to see the checked carry-on baggage allowance,ask_policy 
"I want to check the fucking checked carry-on baggage allowance, how could I do it?",ask_policy 
could you give me information about my fucking checked baggage allowanjce?,ask_policy 
i ogt to check the checked baggage allowance how do i do it,ask_policy 
i got to see the fucking chcked baggage allowance can ya help me,ask_policy 
id like to check the fucking checked carry-on baggage allowance how do i do it,ask_policy 
"I would like to check the checked baggage allowance, how do I do it?",ask_policy 
I'd like to see the fucking checkes baggage allowance,ask_policy 
"I'd like to know about my fucking checked carry-on baggage allowance, will you give me some information?",ask_policy 
will you give me information about my fucking checked baggage allowance?,ask_policy 
"I have to see the checked baggage allowance, where could I do it?",ask_policy 
"I want to see the checked baggage allowance, I need assistance.",ask_policy 
id like to check the checked carry-on baggage allowance will uhelp me,ask_policy 
i need information about my checked baggage allowance how could i find it,ask_policy 
wanna check the fucking checked carry-on baggage allowance how to do it,ask_policy 
"I'd like to know about my checked baggage allowance, where can I get more information?",ask_policy 
"I need to check the fucking checked carry-on baggage allowancw, how can I do it?",ask_policy 
id like information about my fucking checked baggage allowance how can i find it,ask_policy 
"I got to check the fucking checked carry-on baggage allowance, where to do it?",ask_policy 
"I want to know about my checked baggage allowance, can you find some information?",ask_policy 
i need information about my fucking checked baggage allowance how could i find it,ask_policy 
"I want to check the checked baggage allowance, could I get some help?",ask_policy 
need to check the fucking checked carry-on baggage allowance how do i do it,ask_policy 
I'd like to see the fucking checked baggage allowance i need help,ask_policy 
wanna check the checked baggage allowance how do i do it,ask_policy 
"I would like to check the checked baggage allowance, could you help me?",ask_policy 
"I want to see the fucking checked carry-on baggage allowance, where can I do it?",ask_policy 
"I want to check the fucking checked baggage allowance, could you help me?",ask_policy 
im looking for information about my checked baggage allowance,ask_policy 
"I would like to know about my checked carry-on baggage allowance, where could I get more information?",ask_policy 
I'm looking for information about my fucking checked baggage alloawnce how could i find it,ask_policy 
"I got to see the fucking checked baggage allowance, can you help me?",ask_policy 
I have to see thr fucking checked baggage allowance,ask_policy 
i have to check the fucking checked baggage allowance how do i do it,ask_policy 
i have to check the checked carry-on baggage allowance could i get some help,ask_policy 
igot to check the fucking checked carry-on baggage allowance where do i do it,ask_policy 
I'd like information about my fucking checked baggage allowance how can i get it,ask_policy 
wanna check the checked carry-on baggage allowance could i get some help,ask_policy 
can ya etll me more about my checked carry-on baggage allowance,ask_policy 
id like to know about my fucking checked carry-on baggage allowance wilo ufind some information,ask_policy 
"I need to see the checked baggage allowance, will you help me?",ask_policy 
"I have to check the checked carry-on baggage allowance, where to do it?",ask_policy 
"I'd like to check the fucking checked carry-on baggage allowance , help me",ask_policy 
how could i get information about my checked carry-on baggage allowance,ask_policy 
I'm looking for information about my checked baggage allowance helo me,ask_policy 
wanna see the checked baggaage allowance i need help,ask_policy 
i have to see the checked carry-on baggage allowance where to do it,ask_policy 
would it be possible to check the checked baggage allowance?,ask_policy 
need to check the fucking checked carry-on baggage allowance could i get some help,ask_policy 
I'd like to know more about my checked carry-on baggage allowance can ya find some information,ask_policy 
"I want to see the checked carry-on baggage allowance, I need assistance",ask_policy 
wanna check the fucking checked carry-on baggage allowance will uhelp me,ask_policy 
I'd like to know about my checked baggage allowance give me some information,ask_policy 
information about my checked carry-on baggage allowance,ask_policy 
need to see the fucking checked carry-on baggage allowance where do i do it,ask_policy 
cazn I see the checked baggage allowance?,ask_policy 
wanna check the fucking hcecked baggage allowance could uhelp me,ask_policy 
I'm looking for information about my checked carry-on baggage allowance how could I find it,ask_policy 
"I'm looking for information about my fucking checked carry-on baggage allowance, how could I get it?",ask_policy 
i want information about my fucking checked baggage allowance how could i get it,ask_policy 
im looking for information about my fucking checked baggage allowance how could i find it,ask_policy 
would it be possible to check the fucking checked carry-on baggage allowance,ask_policy 
id like to know about my checked baggage allowance where do i find more information,ask_policy 
"I got to check the fucking checkrd carry-on baggage allowance, where could I do it?",ask_policy 
need to see the fucking checked carry-on baggage allowance where could i do it,ask_policy 
I'm trying to find information about my checked baggage allowance,ask_policy 
what is the maximum checked baggage allowance,ask_policy 
id like to check the checked carry-on baggage allowance can i get some help,ask_policy 
I'd like to see the checked baggage allowance can ya help me,ask_policy 
I would like to know about my fucking checked carry-on baggage allowance,ask_policy 
wanna check the checked baggage allowance where do i do it,ask_policy 
id like to know more about my checked carry-on baggage allowance find some information,ask_policy 
"I want to know about my fucking checked baggage  allowance, where could I get more information?",ask_policy 
I'd like to check the checked baggage allowance where do i do it,ask_policy 
"I want to see the fucking checked carry-on baggage allowance, I need assistance",ask_policy 
i got to check the checked baggage allowance where do i do it,ask_policy 
give me information about my checked carry-on baggage allowance,ask_policy 
how do I check the checked baggage allowance?,ask_policy 
i got to see the checked baggae allowance how do i do it,ask_policy 
i have to see the fucking checked baggage allowance can i get some help,ask_policy 
can you tell me more about my checked carry-on baggage allowance?,ask_policy 
wamna know about my checked carry-on baggage allowance where do i get more information,ask_policy 
wanna know more about my checked carry-on baggage alloawnce,ask_policy 
"I got to check the checked carry-on baggage allowance, where do I do it?",ask_policy 
where can I get information about my fucking checked baggage allowance?,ask_policy 
"I got to see the checked baggage allowance, how to do it?",ask_policy 
"I'd like to check the fucking checked baggage allowance, can you help me?",ask_policy 
"I want to check the fucking checked baggage allowance, where do I do it?",ask_policy 
"I want information about my checked baggage allowance, where can I find it?",ask_policy 
can I see the checked carry-on baggage allowance?,ask_policy 
give me information about my checked baggage allowance,ask_policy 
id like to see the chceked carry-on baggage allowance how to do it,ask_policy 
"I have to see the checked carry-on baggage allowance, where could I do it?",ask_policy 
wanna see the checked carry-on baggage allowance how do i do it,ask_policy 
"I would like to check the fucking checked carry-on baggage allowance, where do I do it ?",ask_policy 
i have to see the fucking checked carry-on baggage allowance could ya help me,ask_policy 
I need to see the checked carry-on baggage allowance,ask_policy 
i got to check the checked carry-on baggage allowance can uhelp me,ask_policy 
"I have to see the checked carry-on baggage allowance, I need help",ask_policy 
were to check the checked carry-on baggage allowance,ask_policy 
id like to know about my checked carry-on baggage alllwance will ufind some information,ask_policy 
i got to see the fucking checked baggage allowance how do i do it,ask_policy 
"I'd like to know about my checked baggage allowance, where can I get more information?",ask_policy 
id like to check the fucking checked carry-on baggage allowacne i need assistance,ask_policy 
I need information about my checked carry-on baggage allowance. How could I find it?,ask_policy 
id like to know about my checked carry-on baggage allowance where do i get more information,ask_policy 
"I want to know more about my checked carry-on baggage allowance, give me some information",ask_policy 
"I want to see the checked carry-on baggage allowance, help me",ask_policy 
could ushow me the fucking checked baggage allowance,ask_policy 
i want information about my checked baggage allowance how could i get it,ask_policy 
i got to see tje fucking checked carry-on baggage allowance where to do it,ask_policy 
"I'd like to see the fucking checked baggage allowance, I need assistance",ask_policy 
I want to check the checked carry-on baggage allowance,ask_policy 
I'd like to see the fucking checked baggage allowance how could i do it,ask_policy 
I am looking for information about my fucking checked carry-on baggage allowance,ask_policy 
need to see the checked carry-on baggage allowance were to do it,ask_policy 
id like to see the checked carry-on baggage allowance where could i do it,ask_policy 
"I want to know about my fucking checked baggage allowance, where can I find more information?",ask_policy 
id like to see the checked baggage allowance could i get some help,ask_policy 
"I would like to check the checked baggage allowance, I need help",ask_policy 
i got to check the checked baggage alowance where to do it,ask_policy 
can utell me more abou my fucking checked baggage allowance,ask_policy 
id like to knoq about my checked carry-on baggage allowance how can i find more information,ask_policy 
id like to know aout my fucking checked baggage allowance how do i get more information,ask_policy 
"I need to see the checked baggage allowance, where do I do it?",ask_policy 
"I want information about my checked carry-on baggage allowance, how could I find it?",ask_policy 
id like information about my fuckingchecked baggage allowance where can i get it,ask_policy 
"I would like to see the checked baggage allowance, where do I do it?",ask_policy 
I'd like to know more about my checked baggage allowance,ask_policy 
"I would like to see the fucking checked baggage allowance, where can I do it?",ask_policy 
i got to see the checked baggage allowance will ya help me,ask_policy 
"I'd like to see the checked baggage allowance, will you help me?",ask_policy 
need to see the fucking checked carry-on baggage allowance can i get some help,ask_policy 
I'd like information about my checked baggage allowance how could i get it,ask_policy 
"I'd like to know about my fucking checked baggage allowance, can you find some information?",ask_policy 
